cultivar,condition,timepoints,biological_replicate,technical_replicate,location_of_left_pair,location_of_right_pair
H95,Control,0hpi,1,1,/XYZ/ABC/Control_0hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_1_tr_1_2.fastq.gz
H95,Control,0hpi,1,2,/XYZ/ABC/Control_0hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_1_tr_2_2.fastq.gz
H95,Inoculated,0hpi,1,1,/XYZ/ABC/Inoculated_0hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_1_tr_1_2.fastq.gz
H95,Inoculated,0hpi,1,2,/XYZ/ABC/Inoculated_0hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_1_tr_2_2.fastq.gz
Rp1-I,Control,0hpi,1,1,/XYZ/ABC/Control_0hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_1_tr_1_2.fastq.gz
Rp1-I,Control,0hpi,1,2,/XYZ/ABC/Control_0hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_1_tr_2_2.fastq.gz
Rp1-I,Inoculated,0hpi,1,1,/XYZ/ABC/Inoculated_0hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_1_tr_1_2.fastq.gz
Rp1-I,Inoculated,0hpi,1,2,/XYZ/ABC/Inoculated_0hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_1_tr_2_2.fastq.gz
H95,Control,18hpi,1,1,/XYZ/ABC/Control_18hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_1_tr_1_2.fastq.gz
H95,Control,18hpi,1,2,/XYZ/ABC/Control_18hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_1_tr_2_2.fastq.gz
H95,Inoculated,18hpi,1,1,/XYZ/ABC/Inoculated_18hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_1_tr_1_2.fastq.gz
H95,Inoculated,18hpi,1,2,/XYZ/ABC/Inoculated_18hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_1_tr_2_2.fastq.gz
Rp1-I,Control,18hpi,1,1,/XYZ/ABC/Control_18hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_1_tr_1_2.fastq.gz
Rp1-I,Control,18hpi,1,2,/XYZ/ABC/Control_18hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_1_tr_2_2.fastq.gz
Rp1-I,Inoculated,18hpi,1,1,/XYZ/ABC/Inoculated_18hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_1_tr_1_2.fastq.gz
Rp1-I,Inoculated,18hpi,1,2,/XYZ/ABC/Inoculated_18hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_1_tr_2_2.fastq.gz
H95,Control,24hpi,1,1,/XYZ/ABC/Control_24hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_1_tr_1_2.fastq.gz
H95,Control,24hpi,1,2,/XYZ/ABC/Control_24hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_1_tr_2_2.fastq.gz
H95,Inoculated,24hpi,1,1,/XYZ/ABC/Inoculated_24hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_1_tr_1_2.fastq.gz
H95,Inoculated,24hpi,1,2,/XYZ/ABC/Inoculated_24hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_1_tr_2_2.fastq.gz
Rp1-I,Control,24hpi,1,1,/XYZ/ABC/Control_24hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_1_tr_1_2.fastq.gz
Rp1-I,Control,24hpi,1,2,/XYZ/ABC/Control_24hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_1_tr_2_2.fastq.gz
Rp1-I,Inoculated,24hpi,1,1,/XYZ/ABC/Inoculated_24hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_1_tr_1_2.fastq.gz
Rp1-I,Inoculated,24hpi,1,2,/XYZ/ABC/Inoculated_24hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_1_tr_2_2.fastq.gz
H95,Control,40hpi,1,1,/XYZ/ABC/Control_40hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_1_tr_1_2.fastq.gz
H95,Control,40hpi,1,2,/XYZ/ABC/Control_40hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_1_tr_2_2.fastq.gz
H95,Inoculated,40hpi,1,1,/XYZ/ABC/Inoculated_40hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_1_tr_1_2.fastq.gz
H95,Inoculated,40hpi,1,2,/XYZ/ABC/Inoculated_40hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_1_tr_2_2.fastq.gz
Rp1-I,Control,40hpi,1,1,/XYZ/ABC/Control_40hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_1_tr_1_2.fastq.gz
Rp1-I,Control,40hpi,1,2,/XYZ/ABC/Control_40hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_1_tr_2_2.fastq.gz
Rp1-I,Inoculated,40hpi,1,1,/XYZ/ABC/Inoculated_40hpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_1_tr_1_2.fastq.gz
Rp1-I,Inoculated,40hpi,1,2,/XYZ/ABC/Inoculated_40hpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_1_tr_2_2.fastq.gz
H95,Control,3dpi,1,1,/XYZ/ABC/Control_3dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_1_tr_1_2.fastq.gz
H95,Control,3dpi,1,2,/XYZ/ABC/Control_3dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_1_tr_2_2.fastq.gz
H95,Inoculated,3dpi,1,1,/XYZ/ABC/Inoculated_3dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_1_tr_1_2.fastq.gz
H95,Inoculated,3dpi,1,2,/XYZ/ABC/Inoculated_3dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_1_tr_2_2.fastq.gz
Rp1-I,Control,3dpi,1,1,/XYZ/ABC/Control_3dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_1_tr_1_2.fastq.gz
Rp1-I,Control,3dpi,1,2,/XYZ/ABC/Control_3dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_1_tr_2_2.fastq.gz
Rp1-I,Inoculated,3dpi,1,1,/XYZ/ABC/Inoculated_3dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_1_tr_1_2.fastq.gz
Rp1-I,Inoculated,3dpi,1,2,/XYZ/ABC/Inoculated_3dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_1_tr_2_2.fastq.gz
H95,Control,5dpi,1,1,/XYZ/ABC/Control_5dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_1_tr_1_2.fastq.gz
H95,Control,5dpi,1,2,/XYZ/ABC/Control_5dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_1_tr_2_2.fastq.gz
H95,Inoculated,5dpi,1,1,/XYZ/ABC/Inoculated_5dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_1_tr_1_2.fastq.gz
H95,Inoculated,5dpi,1,2,/XYZ/ABC/Inoculated_5dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_1_tr_2_2.fastq.gz
Rp1-I,Control,5dpi,1,1,/XYZ/ABC/Control_5dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_1_tr_1_2.fastq.gz
Rp1-I,Control,5dpi,1,2,/XYZ/ABC/Control_5dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_1_tr_2_2.fastq.gz
Rp1-I,Inoculated,5dpi,1,1,/XYZ/ABC/Inoculated_5dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_1_tr_1_2.fastq.gz
Rp1-I,Inoculated,5dpi,1,2,/XYZ/ABC/Inoculated_5dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_1_tr_2_2.fastq.gz
H95,Control,7dpi,1,1,/XYZ/ABC/Control_7dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_1_tr_1_2.fastq.gz
H95,Control,7dpi,1,2,/XYZ/ABC/Control_7dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_1_tr_2_2.fastq.gz
H95,Inoculated,7dpi,1,1,/XYZ/ABC/Inoculated_7dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_1_tr_1_2.fastq.gz
H95,Inoculated,7dpi,1,2,/XYZ/ABC/Inoculated_7dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_1_tr_2_2.fastq.gz
Rp1-I,Control,7dpi,1,1,/XYZ/ABC/Control_7dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_1_tr_1_2.fastq.gz
Rp1-I,Control,7dpi,1,2,/XYZ/ABC/Control_7dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_1_tr_2_2.fastq.gz
Rp1-I,Inoculated,7dpi,1,1,/XYZ/ABC/Inoculated_7dpi_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_1_tr_1_2.fastq.gz
Rp1-I,Inoculated,7dpi,1,2,/XYZ/ABC/Inoculated_7dpi_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_1_tr_2_2.fastq.gz
H95,Control,0hpi,2,1,/XYZ/ABC/Control_0hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_2_tr_1_2.fastq.gz
H95,Control,0hpi,2,2,/XYZ/ABC/Control_0hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_2_tr_2_2.fastq.gz
H95,Inoculated,0hpi,2,1,/XYZ/ABC/Inoculated_0hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_2_tr_1_2.fastq.gz
H95,Inoculated,0hpi,2,2,/XYZ/ABC/Inoculated_0hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_2_tr_2_2.fastq.gz
Rp1-I,Control,0hpi,2,1,/XYZ/ABC/Control_0hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_2_tr_1_2.fastq.gz
Rp1-I,Control,0hpi,2,2,/XYZ/ABC/Control_0hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_2_tr_2_2.fastq.gz
Rp1-I,Inoculated,0hpi,2,1,/XYZ/ABC/Inoculated_0hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_2_tr_1_2.fastq.gz
Rp1-I,Inoculated,0hpi,2,2,/XYZ/ABC/Inoculated_0hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_2_tr_2_2.fastq.gz
H95,Control,18hpi,2,1,/XYZ/ABC/Control_18hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_2_tr_1_2.fastq.gz
H95,Control,18hpi,2,2,/XYZ/ABC/Control_18hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_2_tr_2_2.fastq.gz
H95,Inoculated,18hpi,2,1,/XYZ/ABC/Inoculated_18hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_2_tr_1_2.fastq.gz
H95,Inoculated,18hpi,2,2,/XYZ/ABC/Inoculated_18hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_2_tr_2_2.fastq.gz
Rp1-I,Control,18hpi,2,1,/XYZ/ABC/Control_18hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_2_tr_1_2.fastq.gz
Rp1-I,Control,18hpi,2,2,/XYZ/ABC/Control_18hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_2_tr_2_2.fastq.gz
Rp1-I,Inoculated,18hpi,2,1,/XYZ/ABC/Inoculated_18hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_2_tr_1_2.fastq.gz
Rp1-I,Inoculated,18hpi,2,2,/XYZ/ABC/Inoculated_18hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_2_tr_2_2.fastq.gz
H95,Control,24hpi,2,1,/XYZ/ABC/Control_24hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_2_tr_1_2.fastq.gz
H95,Control,24hpi,2,2,/XYZ/ABC/Control_24hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_2_tr_2_2.fastq.gz
H95,Inoculated,24hpi,2,1,/XYZ/ABC/Inoculated_24hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_2_tr_1_2.fastq.gz
H95,Inoculated,24hpi,2,2,/XYZ/ABC/Inoculated_24hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_2_tr_2_2.fastq.gz
Rp1-I,Control,24hpi,2,1,/XYZ/ABC/Control_24hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_2_tr_1_2.fastq.gz
Rp1-I,Control,24hpi,2,2,/XYZ/ABC/Control_24hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_2_tr_2_2.fastq.gz
Rp1-I,Inoculated,24hpi,2,1,/XYZ/ABC/Inoculated_24hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_2_tr_1_2.fastq.gz
Rp1-I,Inoculated,24hpi,2,2,/XYZ/ABC/Inoculated_24hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_2_tr_2_2.fastq.gz
H95,Control,40hpi,2,1,/XYZ/ABC/Control_40hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_2_tr_1_2.fastq.gz
H95,Control,40hpi,2,2,/XYZ/ABC/Control_40hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_2_tr_2_2.fastq.gz
H95,Inoculated,40hpi,2,1,/XYZ/ABC/Inoculated_40hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_2_tr_1_2.fastq.gz
H95,Inoculated,40hpi,2,2,/XYZ/ABC/Inoculated_40hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_2_tr_2_2.fastq.gz
Rp1-I,Control,40hpi,2,1,/XYZ/ABC/Control_40hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_2_tr_1_2.fastq.gz
Rp1-I,Control,40hpi,2,2,/XYZ/ABC/Control_40hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_2_tr_2_2.fastq.gz
Rp1-I,Inoculated,40hpi,2,1,/XYZ/ABC/Inoculated_40hpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_2_tr_1_2.fastq.gz
Rp1-I,Inoculated,40hpi,2,2,/XYZ/ABC/Inoculated_40hpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_2_tr_2_2.fastq.gz
H95,Control,3dpi,2,1,/XYZ/ABC/Control_3dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_2_tr_1_2.fastq.gz
H95,Control,3dpi,2,2,/XYZ/ABC/Control_3dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_2_tr_2_2.fastq.gz
H95,Inoculated,3dpi,2,1,/XYZ/ABC/Inoculated_3dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_2_tr_1_2.fastq.gz
H95,Inoculated,3dpi,2,2,/XYZ/ABC/Inoculated_3dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_2_tr_2_2.fastq.gz
Rp1-I,Control,3dpi,2,1,/XYZ/ABC/Control_3dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_2_tr_1_2.fastq.gz
Rp1-I,Control,3dpi,2,2,/XYZ/ABC/Control_3dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_2_tr_2_2.fastq.gz
Rp1-I,Inoculated,3dpi,2,1,/XYZ/ABC/Inoculated_3dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_2_tr_1_2.fastq.gz
Rp1-I,Inoculated,3dpi,2,2,/XYZ/ABC/Inoculated_3dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_2_tr_2_2.fastq.gz
H95,Control,5dpi,2,1,/XYZ/ABC/Control_5dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_2_tr_1_2.fastq.gz
H95,Control,5dpi,2,2,/XYZ/ABC/Control_5dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_2_tr_2_2.fastq.gz
H95,Inoculated,5dpi,2,1,/XYZ/ABC/Inoculated_5dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_2_tr_1_2.fastq.gz
H95,Inoculated,5dpi,2,2,/XYZ/ABC/Inoculated_5dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_2_tr_2_2.fastq.gz
Rp1-I,Control,5dpi,2,1,/XYZ/ABC/Control_5dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_2_tr_1_2.fastq.gz
Rp1-I,Control,5dpi,2,2,/XYZ/ABC/Control_5dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_2_tr_2_2.fastq.gz
Rp1-I,Inoculated,5dpi,2,1,/XYZ/ABC/Inoculated_5dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_2_tr_1_2.fastq.gz
Rp1-I,Inoculated,5dpi,2,2,/XYZ/ABC/Inoculated_5dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_2_tr_2_2.fastq.gz
H95,Control,7dpi,2,1,/XYZ/ABC/Control_7dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_2_tr_1_2.fastq.gz
H95,Control,7dpi,2,2,/XYZ/ABC/Control_7dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_2_tr_2_2.fastq.gz
H95,Inoculated,7dpi,2,1,/XYZ/ABC/Inoculated_7dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_2_tr_1_2.fastq.gz
H95,Inoculated,7dpi,2,2,/XYZ/ABC/Inoculated_7dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_2_tr_2_2.fastq.gz
Rp1-I,Control,7dpi,2,1,/XYZ/ABC/Control_7dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_2_tr_1_2.fastq.gz
Rp1-I,Control,7dpi,2,2,/XYZ/ABC/Control_7dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_2_tr_2_2.fastq.gz
Rp1-I,Inoculated,7dpi,2,1,/XYZ/ABC/Inoculated_7dpi_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_2_tr_1_2.fastq.gz
Rp1-I,Inoculated,7dpi,2,2,/XYZ/ABC/Inoculated_7dpi_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_2_tr_2_2.fastq.gz
H95,Control,0hpi,3,1,/XYZ/ABC/Control_0hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_3_tr_1_2.fastq.gz
H95,Control,0hpi,3,2,/XYZ/ABC/Control_0hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_3_tr_2_2.fastq.gz
H95,Inoculated,0hpi,3,1,/XYZ/ABC/Inoculated_0hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_3_tr_1_2.fastq.gz
H95,Inoculated,0hpi,3,2,/XYZ/ABC/Inoculated_0hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_3_tr_2_2.fastq.gz
Rp1-I,Control,0hpi,3,1,/XYZ/ABC/Control_0hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_3_tr_1_2.fastq.gz
Rp1-I,Control,0hpi,3,2,/XYZ/ABC/Control_0hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_3_tr_2_2.fastq.gz
Rp1-I,Inoculated,0hpi,3,1,/XYZ/ABC/Inoculated_0hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_3_tr_1_2.fastq.gz
Rp1-I,Inoculated,0hpi,3,2,/XYZ/ABC/Inoculated_0hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_3_tr_2_2.fastq.gz
H95,Control,18hpi,3,1,/XYZ/ABC/Control_18hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_3_tr_1_2.fastq.gz
H95,Control,18hpi,3,2,/XYZ/ABC/Control_18hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_3_tr_2_2.fastq.gz
H95,Inoculated,18hpi,3,1,/XYZ/ABC/Inoculated_18hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_3_tr_1_2.fastq.gz
